Currency Matrix,,,,,,,,,,
,,,,,,,,,,
,USD,EUR,GBP,CNY,CHF,JPY,AUD,CAD,HKD,SGD
USD,-,0.8299,0.7226,6.4938,0.9169,108.0850,1.2943,1.2504,7.7601,1.3284
EUR,1.2050,-,0.8707,7.8247,1.1048,130.2370,1.5595,1.5066,9.3505,1.6007
GBP,1.3839,1.1485,-,8.9868,1.2689,149.5790,1.7911,1.7304,10.7392,1.8384
CNY,0.1540,0.1278,0.1113,-,0.1412,16.6443,0.1993,0.1925,1.1950,0.2046
CHF,1.0906,0.9051,0.7881,7.0823,-,117.8810,1.4116,1.3637,8.4634,1.4488
JPY,0.0093,0.0077,0.0067,0.0601,0.0085,-,0.0120,0.0116,0.0718,0.0123
AUD,0.7727,0.6412,0.5583,5.0174,0.7084,83.5119,-,0.9661,5.9958,1.0264
CAD,0.7998,0.6637,0.5779,5.1936,0.7333,86.4438,1.0351,-,6.2063,1.0624
HKD,0.1289,0.1069,0.0931,0.8368,0.1182,13.9283,0.1668,0.1611,-,0.1712
SGD,0.7528,0.6247,0.5440,4.8884,0.6902,81.3648,0.9743,0.9412,5.8417,-
