Currency Matrix,,,,,,,,,,
,,,,,,,,,,
,USD,EUR,GBP,CNY,CHF,JPY,AUD,CAD,HKD,SGD
USD,-,0.8348,0.7236,6.5229,0.9190,108.8150,1.2926,1.2498,7.7700,1.3338
EUR,1.1980,-,0.8669,7.8141,1.1009,130.3550,1.5484,1.4972,9.3080,1.5979
GBP,1.3820,1.1536,-,9.0147,1.2700,150.3820,1.7863,1.7273,10.7381,1.8433
CNY,0.1533,0.1280,0.1109,-,0.1409,16.6820,0.1982,0.1916,1.1912,0.2045
CHF,1.0882,0.9084,0.7874,7.0982,-,118.4120,1.4066,1.3600,8.4553,1.4514
JPY,0.0092,0.0077,0.0066,0.0599,0.0084,-,0.0119,0.0115,0.0714,0.0123
AUD,0.7737,0.6458,0.5598,5.0464,0.7109,84.1847,-,0.9669,6.0112,1.0319
CAD,0.8001,0.6679,0.5790,5.2192,0.7353,87.0659,1.0342,-,6.2170,1.0672
HKD,0.1287,0.1074,0.0931,0.8395,0.1183,14.0046,0.1664,0.1609,-,0.1717
SGD,0.7497,0.6258,0.5425,4.8905,0.6890,81.5827,0.9691,0.9370,5.8254,-
